K,n_per_facility,sigma,heterogeneity,is_universal,overlap,obs_overlap,r2_lofo,p_naive,p_strat,thr_says_universal,perm_says_universal,strat_says_universal,thr_correct,perm_correct,strat_correct
12,65,0.5085570748409051,1.5702486734570589,True,0.6816591614218315,0.658145034128323,0.7478680819530835,1.0,0.99,True,True,True,True,True,True
8,66,0.3966775461313885,1.9405165776585815,False,0.8210124150404916,0.8025808507994442,-0.32949248665641107,0.01,0.01,False,False,False,True,True,True
7,22,0.3976135797302239,1.2507260681370211,True,0.795201899933586,0.7625241668054269,0.7815467723174296,0.84,0.82,True,True,True,True,True,True
5,71,0.5861528267002768,1.793003200545034,False,0.10306953925762918,0.08546663561832805,-1.1094964737577513,0.01,0.01,False,False,False,True,True,True
10,12,0.5718398561676791,0.9446762809637783,True,0.6626503843081188,0.5310952355240481,0.6337511992404763,0.54,0.74,True,True,True,True,True,True
10,67,0.05480520631980984,1.6729815264365766,True,0.39228952032872666,0.3393672254538733,0.9960504175710393,0.32,0.31,True,True,True,True,True,True
6,70,0.5009129765583015,0.6596668475708942,False,0.5149390657186067,0.4843203791425979,-0.6763058237972641,0.01,0.01,False,False,False,True,True,True
10,36,0.08285789334381333,1.8270487594403657,False,0.12790252417087056,0.09354970690654113,-0.3985628106405332,0.01,0.01,False,False,False,True,True,True
12,20,0.465788424348837,0.9946365720870491,False,0.8067537611713511,0.7648149004481634,0.12895418348120757,0.01,0.01,True,False,False,False,True,True
9,49,0.1360099390318227,1.150854106313783,True,0.8798869290796864,0.8610392927087092,0.9782298153994463,0.15,0.08,True,True,True,True,True,True
5,68,0.36145527526033777,1.6639603752665884,False,0.9452538602888657,0.9373982201808081,-0.46840157144478156,0.01,0.01,False,False,False,True,True,True
3,41,0.25606601924526534,1.1827972473421726,True,0.9139546552562409,0.950925420778096,0.9172502134291487,0.75,0.87,True,True,True,True,True,True
8,63,0.2334537537930308,0.4851629024529799,False,0.9300451367389662,0.9024744172351626,-0.09000228632770946,0.01,0.01,False,False,False,True,True,True
5,42,0.15974873600071585,1.9727134447326244,False,0.26086974641442673,0.19547468816828642,0.11601906901160008,0.01,0.01,True,False,False,False,True,True
6,75,0.15343755798905892,1.4913751207409054,False,0.8167162442815712,0.8005354795843586,-0.3637411694242587,0.01,0.01,False,False,False,True,True,True
8,38,0.25621075860007536,1.901194259845882,True,0.7305335044294604,0.7165498587587378,0.9230021202594821,0.05,0.05,True,False,False,True,False,False
8,11,0.5425468604317403,1.2060866943230688,False,0.38873858572095044,0.28406800405917954,-0.624492521090765,0.01,0.01,False,False,False,True,True,True
4,30,0.06863550133343983,1.5321207137167379,True,0.9418659734855982,0.916350127377698,0.994859928068181,0.93,0.88,True,True,True,True,True,True
8,72,0.40271801503545107,1.3682041725148808,True,0.2204510709238955,0.1771569940017125,0.8473547271626922,0.2,0.28,True,True,True,True,True,True
3,62,0.42767732637736794,0.842093618202723,True,0.12337817041143084,0.109649231292602,0.8443923751486642,0.84,0.82,True,True,True,True,True,True
3,74,0.22537323132739173,1.415973521149525,True,0.29834230202013035,0.269465568299519,0.9322051767513004,0.32,0.29,True,True,True,True,True,True
6,63,0.2496894577240818,1.9188202909177647,True,0.29088846787674183,0.24009538778051542,0.9283448749992483,0.32,0.31,True,True,True,True,True,True
6,25,0.11747117934281583,1.7190617620153084,False,0.21049037406955073,0.16682157713036863,-1.0140828206947123,0.01,0.01,False,False,False,True,True,True
4,74,0.5234103906476387,1.591150126930754,False,0.977861586876093,0.9688009148136186,-0.71744121421279,0.01,0.01,False,False,False,True,True,True
12,32,0.0976187863124974,1.92902441462395,True,0.964548164668331,0.9406919029871421,0.9898466563320951,0.46,0.43,True,True,True,True,True,True
10,42,0.5748350246934292,1.0920645950929118,True,0.20763015186389255,0.15927504710836524,0.7384678998041647,0.66,0.52,True,True,True,True,True,True
3,42,0.47635808848372585,0.8722093743069963,False,0.6335169175526054,0.650017593746414,-1.0978726249513255,0.01,0.01,False,False,False,True,True,True
3,12,0.1247311105301382,1.0110704262419892,True,0.8690287963540032,0.8600113845766243,0.9686733356947217,0.35,0.36,True,True,True,True,True,True
10,45,0.09033910986224025,0.7312992266896543,True,0.6469117148216608,0.6129062467591311,0.9874036005769822,0.7,0.67,True,True,True,True,True,True
4,63,0.11665892590446872,1.5357274520785065,True,0.39510355156126675,0.36159395286480794,0.9828138917366812,0.27,0.57,True,True,True,True,True,True
9,33,0.4828609802238189,0.657437990248055,False,0.27480359089674977,0.21688926428022526,-0.32449942487679806,0.01,0.01,False,False,False,True,True,True
12,12,0.5325082323437156,0.842779645471992,False,0.749665691206594,0.7054189458772179,-0.211953407493777,0.01,0.01,False,False,False,True,True,True
6,38,0.3914974783378323,1.692425548673902,False,0.33456949357094357,0.28155139839246235,-0.6754166315810908,0.01,0.01,False,False,False,True,True,True
10,70,0.19072085265138133,0.5957711668324324,True,0.912029120653844,0.9060342801647843,0.9598182179428506,0.99,0.97,True,True,True,True,True,True
5,10,0.2353423256126444,1.8454533176886077,False,0.7160412646854742,0.6693125700845342,-0.43298215224556125,0.01,0.01,False,False,False,True,True,True
3,58,0.18893234484569593,1.2673688444788165,False,0.39924240930577215,0.3736135225659534,-1.0176454774694195,0.01,0.01,False,False,False,True,True,True
11,32,0.148489513488108,1.6265220616107328,True,0.8336462112875229,0.7804501493381976,0.9725222276077535,0.91,0.86,True,True,True,True,True,True
3,30,0.5330374883086747,1.6994887781927581,False,0.5639119111861729,0.5916444435416709,-0.6972013175865148,0.01,0.01,False,False,False,True,True,True
7,73,0.5240692298534427,1.3427357091923855,True,0.7739525304341907,0.7584404800156073,0.724663755243652,0.17,0.16,True,True,True,True,True,True
6,35,0.4657261379757457,1.1728563410750426,False,0.48154663994770697,0.4301614025137893,0.07643319646399283,0.01,0.01,True,False,False,False,True,True
3,78,0.13946242917883195,1.3098009656366012,True,0.3502363124205524,0.3379331695453775,0.9704168719993009,0.04,0.48,True,False,True,True,False,True
8,62,0.37585521823794216,1.6637082843817328,False,0.6554323729797905,0.627814466789011,-0.35394956602169536,0.01,0.01,False,False,False,True,True,True
