K,n_per_facility,sigma,heterogeneity,is_universal,r2_lofo,protocol_says_universal,bootstrap_a_ci_lo,bootstrap_a_ci_hi,bootstrap_a_stable,obs_sigma_hat,obs_hetero_hat,perm_pvalue,perm_says_universal,perm_correct,correct,scenario_id
3,57,0.13437418282868963,2.359729545193561,True,0.9785684636712189,True,-0.45094312036194,-0.43966658246954937,True,0.14085728609719655,0.005583852795996989,0.99,True,True,True,35
7,36,0.30194218559545016,2.425165915856204,True,0.9099713759091991,True,-0.4818413680181971,-0.43721198124998606,True,0.3016523989962789,0.026380843109758873,0.49,True,True,True,36
9,37,0.5928716494879069,0.5420850897477357,True,0.6994428528765088,True,-0.45534878551098984,-0.4067667984523365,True,0.6013478533841742,0.03992351893341348,0.13,True,True,True,37
5,20,0.5968042550030767,1.3312387174600575,True,0.7049388163222452,True,-0.42674239888687343,-0.35554111052127296,True,0.5436935902688046,0.04027974258060507,0.81,True,True,True,38
3,83,0.29425620463059987,1.9733138882191437,False,-1.166607131280081,False,-1.4981051880201268,-0.5313408376527176,True,10.142082020788127,0.6369158175723958,0.01,False,True,True,39
19,84,0.5883279552118027,2.47025999105888,True,0.7442809923111358,True,-0.47923255816807386,-0.4451402883038402,True,0.5844062249652603,0.03900316630387667,0.41,True,True,True,40
9,10,0.4190705230573814,0.6273509315150586,False,0.04064574610600924,True,-0.5602749250739031,-0.24507737376790767,True,1.6621795080305048,0.16213909283522251,0.01,False,True,False,41
14,91,0.5037878802383406,0.2383190546850269,True,0.7895961051821899,True,-0.46191470071500135,-0.43451491959061145,True,0.5041547949739794,0.02853183722108976,0.1,True,True,True,42
2,20,0.2014008610396562,1.0842998356537503,False,-2.8836759905499814,False,-1.0170032212139153,0.08319034264232308,False,6.121503200690359,0.5500967819281192,0.01,False,True,True,43
17,90,0.1304124164664764,1.4752025353188256,True,0.9835479834889348,True,-0.45411941935628414,-0.4480697618844846,True,0.12910217908761432,0.006305614574461499,0.44,True,True,True,44
8,5,0.09725429266831528,1.9451115181729777,False,-0.04305170865695307,False,-0.7068873210545312,-0.29834960284490103,True,2.1669970066655244,0.11290924836749729,0.02,False,True,True,45
18,65,0.19340577811998239,1.954815558739119,False,-0.09877763751483082,False,-0.8536373701487114,-0.256995279256254,True,6.766725414475179,0.5222387810720612,0.01,False,True,True,46
7,81,0.39931665006987904,2.087284960198801,True,0.8593333000968998,True,-0.45774451853778847,-0.43311326933057565,True,0.39387746182436323,0.015279181526379694,0.9,True,True,True,47
13,64,0.3448732737452058,1.8316904284917506,True,0.8888525012894317,True,-0.4614646878386539,-0.44292011577987545,True,0.34833986570078,0.018023502572038625,0.44,True,True,True,48
6,97,0.0907742598466226,2.0543875767637187,False,-0.4191727011626716,False,-0.6965714631062451,0.06446129018542515,False,7.070219139673021,0.595673181314526,0.01,False,True,True,49
10,100,0.3238613119328232,1.6768348262241937,True,0.9048788634268085,True,-0.45518025612711943,-0.4467419750466952,True,0.3249906743290754,0.008321527007997535,0.73,True,True,True,50
15,10,0.5276527768764577,2.0959322773005433,False,-0.13235933268257782,False,-1.6257306594416314,-0.2580910400997033,True,7.201664402178918,0.5409575546250499,0.01,False,True,True,51
11,25,0.40108342496363686,0.5005810479503229,True,0.8627975095936697,True,-0.4705514983000308,-0.4358928192521842,True,0.40378017152132684,0.030238651907229935,0.89,True,True,True,52
16,54,0.554079268387329,2.2166000865226083,True,0.7449288003081176,True,-0.4684684039402632,-0.4460497207646858,True,0.5691441594124637,0.02149529243395655,0.82,True,True,True,53
4,5,0.3266503621021555,0.28448359056829287,True,0.876086611767485,True,-0.4324314289268995,-0.36307988601201224,True,0.30898093052512304,0.036258266852482644,0.9,True,True,True,54
4,7,0.14960548014790195,1.1521899623181815,False,-0.7455395888109306,False,-1.001922438368072,-0.2236404937352292,True,2.0438812679025875,0.17783191582406635,0.01,False,True,True,55
7,6,0.3606721477780342,1.028117530865397,True,0.8734928079807656,True,-0.5092668351679502,-0.3929186133450816,True,0.34488443005932773,0.07934423521563605,0.61,True,True,True,56
10,13,0.1613612244792546,0.7259427595570844,False,-0.02642953447133012,False,-0.8023900352085304,-0.38822633494850123,True,2.7783768381408604,0.18019083909913527,0.01,False,True,True,57
19,81,0.5899013947797545,2.7735810259709397,True,0.738678947170179,True,-0.46252624001106474,-0.4347451096415831,True,0.5882029309137238,0.03786012527778852,0.86,True,True,True,58
8,94,0.2681176045341325,2.7724368796036956,True,0.9230954309418741,True,-0.4540008850385637,-0.43777973823607474,True,0.2786393518829143,0.012681056264613893,0.4,True,True,True,59
15,97,0.2585482521469428,0.5056812976291949,False,0.09126220910633187,True,-0.4895742816958902,-0.33828882557543827,True,1.9004369658297215,0.15574200431312743,0.01,False,True,False,60
8,13,0.5254686781150493,2.048224079258699,False,-0.35661063590570263,False,-0.8987751926256095,0.3474337300076401,False,6.630752914771386,0.4634925176374548,0.01,False,True,True,61
18,65,0.5155312824531044,0.11303115720057944,True,0.7715217631294612,True,-0.45734019969890516,-0.4263511693379325,True,0.5178024743360327,0.03318344695291676,0.04,False,False,True,62
13,60,0.41023345848449816,0.5402945169788274,False,0.0966601971220622,True,-0.5598949794544753,-0.3581840441905628,True,1.8773456908327815,0.13044991983330426,0.01,False,True,False,63
13,89,0.24777835981376756,2.6768057685494293,True,0.9418602184893822,True,-0.45918011830635985,-0.4440333748874616,True,0.240767520964245,0.01286972289606638,0.51,True,True,True,64
12,44,0.5518503675856942,1.346068359602099,True,0.767031988842485,True,-0.4680442497593369,-0.44983415273286753,True,0.5607643376041379,0.018305613429854775,0.78,True,True,True,65
13,34,0.39411237816656,2.1970777650957065,True,0.8586136090822762,True,-0.44526207992935113,-0.4084110985361263,True,0.39712055396390067,0.036493161662777635,0.44,True,True,True,66
9,92,0.16152888395972345,0.5006348323714407,True,0.9745335926786826,True,-0.4552030981158903,-0.44203803689812576,True,0.16010689724578403,0.010294423350385223,0.07,True,True,True,67
18,86,0.33551093925659864,0.9724965821711479,False,-0.0391462335638868,False,-0.6345112774127584,-0.23242807011717864,True,3.4766818729589626,0.25590095166454085,0.01,False,True,True,68
20,74,0.5554747525689345,1.1878088892546677,False,-0.0647274832100937,False,-0.5877888909635359,-0.2148500547248437,True,4.538792748513792,0.3458523543698834,0.01,False,True,True,69
12,14,0.24736309602902457,0.6006813493551173,True,0.939099152026107,True,-0.4911232981890448,-0.45071586404994113,True,0.24553980971335124,0.03741636147363787,0.28,True,True,True,70
20,55,0.18879721059394028,2.1873198706455312,False,-0.10299749825288185,False,-0.6613593743635585,0.055701168972495475,False,8.53373589689205,0.612441507781396,0.01,False,True,True,71
13,90,0.0765716511507859,0.12025538266992852,True,0.993740301374802,True,-0.4526662187427284,-0.44980479286938857,True,0.07593915142166133,0.002633200629600795,0.79,True,True,True,72
