is_universal,obs_min_fold_overlap,thr_correct,perm_correct,strat_correct,bin
True,0.0,True,False,True,0-0.005
False,0.06214499424265148,True,True,True,0.05-0.10
True,0.08539576867003333,True,False,True,0.05-0.10
True,0.06527251410186012,True,True,True,0.05-0.10
True,0.12891144916978634,True,False,True,0.10-0.20
False,0.21217256041991328,False,True,True,
True,0.1715063039704504,True,True,True,0.10-0.20
False,0.011276194934189512,True,True,True,0.01-0.02
False,0.1462083422045125,True,True,True,0.10-0.20
True,0.09578053533413022,True,True,True,0.05-0.10
True,0.012211761728166959,True,True,True,0.01-0.02
False,0.10807999158082643,True,True,True,0.10-0.20
False,0.12696834131648224,True,True,True,0.10-0.20
True,0.1211064325108491,True,True,True,0.10-0.20
True,0.0,True,True,True,0-0.005
True,0.19457470383907435,True,True,True,0.10-0.20
True,0.03869872105461056,True,True,True,0.02-0.05
False,0.0,True,True,True,0-0.005
True,0.09830774524616734,True,True,True,0.05-0.10
True,0.08030081595997658,True,True,True,0.05-0.10
True,0.14147049850764545,True,True,True,0.10-0.20
True,0.03426411530762074,True,True,True,0.02-0.05
True,0.10954758502650193,True,False,True,0.10-0.20
False,0.028119673432050234,True,True,True,0.02-0.05
False,0.0643960965790467,True,True,True,0.05-0.10
True,0.023879367879943655,True,False,True,0.02-0.05
False,0.11548865972864186,False,True,True,0.10-0.20
False,0.17223783977507126,True,True,True,0.10-0.20
False,0.0005393472118390446,True,True,True,0-0.005
True,0.05698753004458768,True,True,True,0.05-0.10
False,0.043791292028596544,False,True,True,0.02-0.05
True,0.1512339666346742,True,True,True,0.10-0.20
True,0.1671964544174428,True,True,True,0.10-0.20
False,0.09927544792350419,True,True,True,0.05-0.10
True,0.0362624080702363,True,True,True,0.02-0.05
True,0.0776091000914702,True,True,True,0.05-0.10
True,0.14270109626482727,True,False,True,0.10-0.20
True,0.16710214133050505,True,False,True,0.10-0.20
False,0.028971015645372997,True,True,True,0.02-0.05
False,0.14956396819860174,True,True,True,0.10-0.20
False,0.13559169500322543,True,True,True,0.10-0.20
False,0.07102784350295135,True,True,True,0.05-0.10
True,0.06417938567141264,True,True,True,0.05-0.10
True,0.1157548876962367,True,True,True,0.10-0.20
False,0.16534455316939878,True,True,True,0.10-0.20
False,0.05374176191027302,True,True,True,0.05-0.10
False,0.06026171909145695,False,True,True,0.05-0.10
True,0.1801934175512976,True,False,False,0.10-0.20
False,0.05910256040283095,True,True,True,0.05-0.10
False,0.003815483208324917,True,True,True,0-0.005
True,0.1265636406950111,True,False,False,0.10-0.20
True,0.16011528147154316,True,True,True,0.10-0.20
True,0.12654520115566603,True,False,False,0.10-0.20
True,0.1770541157737172,True,True,True,0.10-0.20
True,0.06931407136807899,True,True,True,0.05-0.10
False,0.023763955837863043,True,True,True,0.02-0.05
False,0.1101328040905923,True,True,True,0.10-0.20
True,0.11761672778807124,True,True,True,0.10-0.20
True,0.14702205110647487,True,False,True,0.10-0.20
False,0.01112574859297045,True,True,True,0.01-0.02
False,0.07388081305437917,True,True,True,0.05-0.10
True,0.14105177517419742,True,True,True,0.10-0.20
False,0.11979772398512042,True,True,True,0.10-0.20
False,0.03850938805380834,True,True,True,0.02-0.05
False,0.07786087251241967,False,True,True,0.05-0.10
False,0.03490963704873731,False,True,True,0.02-0.05
True,0.1388251578169701,True,True,True,0.10-0.20
False,0.0,True,True,False,0-0.005
True,0.16661567362104537,True,True,True,0.10-0.20
False,0.16122332831256492,True,True,True,0.10-0.20
False,0.05234271821740295,False,True,True,0.05-0.10
False,0.12153550453392412,False,True,True,0.10-0.20
True,0.10161310848714285,True,True,True,0.10-0.20
True,0.1302305573463411,True,True,True,0.10-0.20
False,0.10908371935740421,True,True,True,0.10-0.20
True,0.04225960577690915,True,True,True,0.02-0.05
True,0.17978438262855495,True,True,True,0.10-0.20
False,0.1184505493300352,True,True,True,0.10-0.20
False,0.10775462363949995,True,True,True,0.10-0.20
True,0.19799676432797544,True,True,True,0.10-0.20
False,0.15010100824078534,True,True,True,0.10-0.20
False,0.0013184748375062224,True,True,True,0-0.005
False,0.1052300782743695,True,True,True,0.10-0.20
True,0.12865749246240693,True,True,True,0.10-0.20
True,0.1389595758098679,True,True,True,0.10-0.20
False,0.012179938648198756,True,True,True,0.01-0.02
True,0.16748969037875835,True,False,True,0.10-0.20
True,0.16113077109769508,True,False,False,0.10-0.20
True,0.03634548962790251,True,True,True,0.02-0.05
False,0.0,True,True,False,0-0.005
True,0.040826541681088846,True,True,True,0.02-0.05
True,0.11605982021970714,True,True,True,0.10-0.20
True,0.03377128137458041,True,False,True,0.02-0.05
True,0.08916642079050532,True,True,True,0.05-0.10
True,0.07780076841895452,True,True,True,0.05-0.10
False,0.023605296673941498,False,True,True,0.02-0.05
False,0.052018354437560595,True,True,True,0.05-0.10
False,0.09487574284700842,True,True,True,0.05-0.10
True,0.2190364523700224,True,True,True,
True,0.18977876072436886,True,True,True,0.10-0.20
True,0.2066509127473236,True,True,True,
False,0.021804614024353585,True,True,True,0.02-0.05
False,0.04199883787419566,True,True,True,0.02-0.05
False,0.07200918552697935,True,True,True,0.05-0.10
True,0.1969241463323647,True,True,True,0.10-0.20
True,0.09334598435685482,True,True,True,0.05-0.10
False,0.08469719160385995,True,True,True,0.05-0.10
False,0.07175370200125679,True,True,True,0.05-0.10
False,0.02820335874011603,True,True,True,0.02-0.05
False,0.12292160753674279,True,True,True,0.10-0.20
False,0.19948668392293503,True,True,True,0.10-0.20
False,0.18935605537863087,True,True,True,0.10-0.20
True,0.1390765958795806,True,True,True,0.10-0.20
False,0.02542140106279375,True,True,True,0.02-0.05
True,0.1825988691027858,True,False,False,0.10-0.20
True,0.006490554620233746,True,True,True,0.005-0.01
False,0.0,True,True,True,0-0.005
False,0.07454980028884184,True,True,True,0.05-0.10
True,0.1122884563666561,True,True,True,0.10-0.20
True,0.027660296024018642,True,True,True,0.02-0.05
False,0.1492366420463126,True,True,True,0.10-0.20
False,0.03281895825056789,False,True,True,0.02-0.05
True,0.16288610541434032,True,True,True,0.10-0.20
True,0.06072659937811703,True,False,True,0.05-0.10
False,0.14505748066208912,True,True,True,0.10-0.20
True,0.12496793335277087,True,True,True,0.10-0.20
False,0.0,True,True,True,0-0.005
False,0.19474424935093548,True,True,True,0.10-0.20
False,0.09171361311481852,False,True,True,0.05-0.10
False,0.15237720824392337,True,True,True,0.10-0.20
False,0.0,True,True,True,0-0.005
True,0.1510637382191541,True,True,True,0.10-0.20
True,0.05021669226987351,True,True,True,0.05-0.10
True,0.16570965299597992,True,False,True,0.10-0.20
True,0.0,True,True,True,0-0.005
False,0.038625766755748935,True,True,True,0.02-0.05
False,0.07748087478439311,True,True,True,0.05-0.10
True,0.0,True,True,False,0-0.005
True,0.1376824504564996,True,True,True,0.10-0.20
True,0.16606225384710482,True,False,True,0.10-0.20
False,0.003017189762691233,True,True,True,0-0.005
True,0.03646817249041254,True,True,True,0.02-0.05
False,0.13847074706830828,True,True,True,0.10-0.20
False,0.0,False,True,False,0-0.005
False,0.04231913551111275,True,True,True,0.02-0.05
True,0.06089730335176856,True,True,True,0.05-0.10
True,0.13640769516541026,True,True,True,0.10-0.20
True,0.03480223205604519,True,True,True,0.02-0.05
True,0.10053896311691136,True,True,True,0.10-0.20
False,0.0,True,True,True,0-0.005
True,0.04190346403038899,True,True,True,0.02-0.05
True,0.1139355456241568,True,True,True,0.10-0.20
False,0.0,True,True,True,0-0.005
True,0.09717029465791303,True,True,True,0.05-0.10
True,0.02035079416406954,True,False,True,0.02-0.05
True,0.08275141611547358,True,True,True,0.05-0.10
False,0.012167821538013579,False,True,True,0.01-0.02
True,0.09774024376191605,True,True,True,0.05-0.10
False,0.029313165390005926,True,True,True,0.02-0.05
True,0.0777770759095588,True,True,True,0.05-0.10
False,0.09923838962969525,True,True,True,0.05-0.10
False,0.03633698651679177,True,True,True,0.02-0.05
False,0.08249488210586367,True,True,True,0.05-0.10
False,0.161706192399318,True,True,True,0.10-0.20
False,0.1522214385584204,True,True,True,0.10-0.20
True,0.030590785897045288,True,True,True,0.02-0.05
True,0.0165206377023303,True,True,True,0.01-0.02
True,0.10165012567306222,True,True,True,0.10-0.20
False,0.11756809147257781,True,True,True,0.10-0.20
True,0.10729530762831967,True,True,True,0.10-0.20
True,0.09042420550294844,True,True,True,0.05-0.10
True,0.037071871826026205,True,True,True,0.02-0.05
False,0.05996561486670034,True,True,True,0.05-0.10
False,0.14118730383839684,True,True,True,0.10-0.20
False,0.10096554659711303,True,True,True,0.10-0.20
True,0.16593212122807086,True,True,True,0.10-0.20
False,0.14866155227672997,True,True,True,0.10-0.20
True,0.10047425342473867,True,True,True,0.10-0.20
True,0.04971336670111467,True,True,True,0.02-0.05
False,0.11365877153678372,True,True,True,0.10-0.20
True,0.18840804905571942,True,True,True,0.10-0.20
True,0.0337781316170663,True,False,False,0.02-0.05
True,0.128846295592282,True,True,True,0.10-0.20
True,0.16406189277030722,True,True,True,0.10-0.20
False,0.03991364663866337,True,True,True,0.02-0.05
False,0.12255186939582038,True,True,True,0.10-0.20
True,0.017819078462845316,True,True,True,0.01-0.02
True,0.13371121208397618,True,True,True,0.10-0.20
False,0.16719371125145263,True,True,True,0.10-0.20
True,0.16232180194602727,True,True,True,0.10-0.20
False,0.13594691998344044,True,True,True,0.10-0.20
False,0.005013540025522665,True,True,True,0.005-0.01
True,0.09265040421343321,True,True,True,0.05-0.10
False,0.17224716993717082,True,True,True,0.10-0.20
True,0.015449783831013952,True,True,True,0.01-0.02
False,0.08360871621470557,True,True,True,0.05-0.10
False,0.026241896748366998,True,True,True,0.02-0.05
False,0.09312132415269522,True,True,True,0.05-0.10
True,0.0,True,False,True,0-0.005
True,0.0,True,False,True,0-0.005
True,0.1114742757843941,True,False,True,0.10-0.20
False,0.10687948326363042,True,True,True,0.10-0.20
False,0.12754011397628245,True,True,True,0.10-0.20
True,0.08832870115515273,True,True,True,0.05-0.10
False,0.1267018810277206,True,True,True,0.10-0.20
True,0.1551623280474716,True,True,True,0.10-0.20
False,0.19343305432243682,True,True,True,0.10-0.20
True,0.06870542131603105,True,False,True,0.05-0.10
False,0.08237408285573822,True,True,True,0.05-0.10
True,0.0916683452374213,True,True,True,0.05-0.10
True,0.15095379606871964,True,True,True,0.10-0.20
True,0.16616353038508128,True,False,False,0.10-0.20
False,0.08674021436869786,False,True,True,0.05-0.10
True,0.0,True,True,True,0-0.005
False,0.04870494254537304,False,True,True,0.02-0.05
True,0.08157978809559366,True,True,True,0.05-0.10
True,0.11219886339215011,True,True,True,0.10-0.20
False,0.06535703522830505,False,True,True,0.05-0.10
False,0.12382214330805218,True,True,True,0.10-0.20
True,0.10655151391301144,True,True,True,0.10-0.20
False,0.0064347878091445265,True,True,True,0.005-0.01
False,0.0,True,True,False,0-0.005
True,0.07945084392360141,True,False,False,0.05-0.10
False,0.12440836725207918,True,True,True,0.10-0.20
True,0.11153292029132426,True,False,True,0.10-0.20
False,0.12489667679091446,True,True,True,0.10-0.20
False,0.08103505293197286,True,True,True,0.05-0.10
True,0.15195308898882756,True,False,True,0.10-0.20
True,0.10183265000120213,True,False,True,0.10-0.20
True,0.09073550609114135,True,False,True,0.05-0.10
False,0.19088265182932762,True,True,True,0.10-0.20
True,0.15954283171026612,True,True,True,0.10-0.20
True,0.0,True,True,True,0-0.005
False,0.018132155747786663,True,True,True,0.01-0.02
True,0.02596611494853584,True,True,True,0.02-0.05
False,0.0059237195169000965,True,True,True,0.005-0.01
False,0.10958296319483977,True,True,True,0.10-0.20
True,0.025874512505168555,True,True,True,0.02-0.05
False,0.08899275192967016,True,True,True,0.05-0.10
True,0.047462470167675956,True,True,True,0.02-0.05
False,0.15061580152466628,True,True,True,0.10-0.20
True,0.0020197206583067936,True,True,True,0-0.005
True,0.15522701625674776,True,True,True,0.10-0.20
True,0.01430141001292224,True,True,True,0.01-0.02
True,0.0,True,True,True,0-0.005
False,0.16352300757983523,True,True,True,0.10-0.20
True,0.16556962170986833,True,True,True,0.10-0.20
True,0.029681277427510255,True,True,True,0.02-0.05
False,0.13868350022690215,True,True,True,0.10-0.20
True,0.07735810382653942,True,True,True,0.05-0.10
False,0.05559061275046681,True,True,True,0.05-0.10
True,0.07152062887165418,True,True,True,0.05-0.10
True,0.061072496296663926,True,True,True,0.05-0.10
True,0.11562926212706248,True,True,True,0.10-0.20
False,0.0,True,True,False,0-0.005
True,0.10167423667074783,True,True,True,0.10-0.20
False,0.12773647872719068,True,True,True,0.10-0.20
True,0.0,True,True,True,0-0.005
False,0.10277396033139984,True,True,True,0.10-0.20
False,0.11692400441175607,True,True,True,0.10-0.20
True,0.051657886220187355,True,True,True,0.05-0.10
True,0.017176825659781306,True,True,True,0.01-0.02
False,0.12226625359489103,False,True,True,0.10-0.20
True,0.11719960876947551,True,True,True,0.10-0.20
True,0.12354322211544293,True,True,True,0.10-0.20
True,0.15054899919535505,True,True,True,0.10-0.20
False,0.12045540223813189,True,True,True,0.10-0.20
False,0.11558459317814836,False,True,True,0.10-0.20
True,0.0,True,False,True,0-0.005
True,0.11487320547220932,True,True,True,0.10-0.20
True,0.12043847860234491,True,False,True,0.10-0.20
True,0.11375594836788425,True,True,True,0.10-0.20
True,0.021921960411361616,True,True,True,0.02-0.05
True,0.04676920448978974,True,True,True,0.02-0.05
True,0.1723863447667634,True,True,True,0.10-0.20
True,0.1748907775045254,True,True,True,0.10-0.20
False,0.1906109912569477,True,True,True,0.10-0.20
True,0.18029984534959628,True,True,True,0.10-0.20
True,0.04368408146528166,True,True,True,0.02-0.05
False,0.16396208154006198,True,True,True,0.10-0.20
True,0.15142629933453253,True,True,True,0.10-0.20
True,0.1196028414374926,True,False,False,0.10-0.20
False,0.1816291441880281,False,True,True,0.10-0.20
False,0.15069572401608977,True,True,True,0.10-0.20
True,0.13296850531668428,True,False,True,0.10-0.20
True,0.10568637210230793,True,False,True,0.10-0.20
False,0.1109919046646377,True,True,True,0.10-0.20
False,0.09990558707427108,True,True,True,0.05-0.10
False,0.13896808478847333,True,True,True,0.10-0.20
True,0.18135284177896951,True,True,True,0.10-0.20
False,0.04657458358654844,False,True,True,0.02-0.05
False,0.20164055936142306,False,True,True,
False,0.21160988805458625,True,True,True,
True,0.18876133359980563,True,True,True,0.10-0.20
False,0.21325647039305998,True,True,True,
True,0.059611979067727444,True,True,True,0.05-0.10
False,0.0,True,True,False,0-0.005
True,0.010544111849457359,True,False,True,0.01-0.02
False,0.14885165976346423,True,True,True,0.10-0.20
False,0.023126076667663066,False,True,True,0.02-0.05
False,0.00814710638769816,True,True,True,0.005-0.01
True,0.09420159295437325,True,True,True,0.05-0.10
False,0.06507136732405332,True,True,True,0.05-0.10
False,0.0,True,True,True,0-0.005
True,0.004907992580299941,True,False,True,0-0.005
False,0.06102302261223253,True,True,True,0.05-0.10
True,0.22016949123087023,True,True,True,
True,0.10126450084806772,True,True,True,0.10-0.20
False,0.0,True,True,True,0-0.005
False,0.049861983042468846,True,True,True,0.02-0.05
True,0.20473117606251087,True,True,True,
True,0.07480020714190247,True,True,True,0.05-0.10
False,0.011275668422833915,True,True,True,0.01-0.02
True,0.19880070687817522,True,True,True,0.10-0.20
True,0.17964382069940338,True,False,True,0.10-0.20
True,0.04513101597279565,True,False,True,0.02-0.05
False,0.06390001436416613,True,True,True,0.05-0.10
False,0.1587628463686322,True,True,True,0.10-0.20
