K,n_per_facility,sigma,heterogeneity,is_universal,confound_type,n_mode,r2_lofo,protocol_says_universal,bootstrap_a_ci_lo,bootstrap_a_ci_hi,bootstrap_a_stable,obs_sigma_hat,obs_hetero_hat,perm_pvalue,perm_says_universal,perm_correct,correct,scenario_id
3,45,0.4705062410110536,0.5193024114359024,False,gaussian_linear,equal,-0.4374358788781576,False,-0.5622492377026601,-0.43832897138165455,True,1.6509917473127758,0.06330057219351569,0.01,False,True,True,gaussian_linear_28
14,10,0.45351506323097557,0.6541807130872587,True,gaussian_linear,equal,0.7550186963752598,True,-0.4537941840595519,-0.40547519416974076,True,0.4990502107665516,0.06075942487395766,0.46,True,True,True,gaussian_linear_29
9,86,0.25575629947131684,2.2625728975602333,False,gaussian_linear,unequal,-0.24388601776426366,False,-1.0696694601718668,-0.10255808235973862,True,9.569651316970452,0.8086259763214164,0.01,False,True,True,gaussian_linear_30
19,94,0.3572355111830662,1.560126087451089,False,gaussian_linear,equal,-0.07344266304532399,False,-0.7795239711718807,-0.32008963120347506,True,5.893489520544778,0.42940144409284536,0.01,False,True,True,gaussian_linear_31
5,45,0.3260072281620014,2.0745669053070355,False,gaussian_linear,unequal,-0.4204302403636886,False,-0.657008094041195,0.07647817591082581,False,7.141791047316398,0.8105199441116336,0.01,False,True,True,gaussian_linear_32
20,51,0.3709961674070595,1.8760173270289688,True,gaussian_linear,equal,0.8753857599114966,True,-0.45992975691444876,-0.4421678731891913,True,0.36692339042094424,0.01897847152777183,0.31,True,True,True,gaussian_linear_33
3,54,0.10464712238411718,2.2204318778767957,False,gaussian_linear,equal,-1.232512962712753,False,-0.32731722054689233,0.41372095276412,False,5.823432837911698,0.35324021624175983,0.01,False,True,True,gaussian_linear_34
14,11,0.2100362718018402,2.4092325576570532,True,gaussian_linear,equal,0.9574678259739027,True,-0.4545278169826984,-0.4285549579287469,True,0.20061579366731197,0.030253583691472883,0.53,True,True,True,gaussian_linear_35
19,51,0.4029312219961658,1.91758195598017,True,gaussian_linear,unequal,0.8511898418762461,True,-0.4577845330614405,-0.43560108220847205,True,0.4026670842183095,0.025406758025761342,0.36,True,True,True,gaussian_linear_36
17,54,0.2584722163546574,0.7925202733081462,False,gaussian_linear,equal,-0.05171978875347438,False,-0.7569500169439788,-0.26973020800323655,True,4.027900375091709,0.3099833072896821,0.01,False,True,True,gaussian_linear_37
17,26,0.05965840717609556,1.5738033010623629,False,gaussian_linear,equal,-0.07966313560464688,False,-0.6954313251095122,-0.1746261779147405,True,5.37958884147674,0.42614567907058226,0.01,False,True,True,gaussian_linear_38
15,33,0.07699891844921206,0.6551961339837956,False,gaussian_linear,unequal,0.10472097278452741,True,-0.5463179481599202,-0.36559544035477837,True,1.78536987596196,0.11732347811092013,0.01,False,True,False,gaussian_linear_39
18,51,0.416121713758146,0.6667999475459394,False,gaussian_linear,equal,-0.03149537698855509,False,-0.4746892490022771,-0.2692595774206375,True,2.8728475566102842,0.2286797618906235,0.01,False,True,True,gaussian_linear_40
6,98,0.4189513682707691,1.5847478870496206,True,gaussian_linear,equal,0.8356906030997735,True,-0.46002341090444654,-0.4427536632547664,True,0.42902224356896584,0.011940910139139803,0.86,True,True,True,gaussian_linear_41
19,63,0.3140469467745195,1.2963522172127302,True,gaussian_linear,equal,0.9183603468113704,True,-0.466021341561894,-0.4480732626887569,True,0.2992242195247445,0.02100880494259444,0.93,True,True,True,gaussian_linear_42
17,54,0.2926257566585178,2.6920505623437254,False,gaussian_linear,unequal,-0.194259839024427,False,-1.0773753420459016,0.6053268256667123,False,13.741145720754222,0.8968157463313878,0.01,False,True,True,gaussian_linear_43
17,24,0.4211912057416228,2.1191472360636427,False,gaussian_linear,unequal,-0.13452759989809793,False,-0.9320129203348739,-0.08117949489289246,True,6.982896327295463,0.5151064200141011,0.01,False,True,True,gaussian_linear_44
15,70,0.050133752318084174,2.0984162259486454,False,gaussian_linear,unequal,-0.10239206078667062,False,-0.9888316078936933,-0.4635393485216199,True,6.972880994139724,0.5941565093305118,0.01,False,True,True,gaussian_linear_45
15,41,0.2738535551454164,2.516511833848347,False,gaussian_linear,unequal,-0.3069000961982429,False,-1.163620982368132,0.5346008952248212,False,13.1843697314576,0.79965564817756,0.01,False,True,True,gaussian_linear_46
9,19,0.4782154008331282,2.4042781706889347,False,gaussian_linear,equal,-0.2998242427902049,False,-1.520513707326913,0.7586743933565534,False,11.723380649824593,0.8769502387768321,0.01,False,True,True,gaussian_linear_47
20,43,0.510371284068083,0.5446960175481254,True,gaussian_linear,equal,0.8037964272144642,True,-0.46851122178707194,-0.44288234377220903,True,0.49803598383712494,0.03086132472591531,0.76,True,True,True,gaussian_linear_48
2,14,0.06355841259930298,2.0908387274798867,False,gaussian_linear,unequal,-2.6638266047406107,False,-0.07229630424088866,0.16445346457335497,False,2.5405213117118826,0.11837488440712185,0.01,False,True,True,gaussian_linear_49
18,55,0.13620745477181795,0.6407036229920144,False,gaussian_linear,equal,0.12756446933058918,True,-0.510590472183497,-0.346422121466745,True,1.8176468413923839,0.15066718542637125,0.01,False,True,False,gaussian_linear_50
14,29,0.4150953201305174,0.8930784904286189,True,gaussian_linear,unequal,0.8391889252427781,True,-0.47300587737774336,-0.4411646332684565,True,0.42717643238277725,0.05382528333532005,0.35,True,True,True,gaussian_linear_51
15,39,0.2414616921569801,2.0554621670671804,False,gaussian_linear,unequal,-0.21079061313840897,False,-1.2367357217704344,-0.4691550608671555,True,5.9088412992420265,0.422140157646138,0.01,False,True,True,gaussian_linear_52
15,29,0.3082738746776608,1.9506587111285323,False,gaussian_linear,equal,-0.1344553971564464,False,-1.0247534215311038,0.061285059264699106,False,9.182749146150611,0.6178355939323831,0.01,False,True,True,gaussian_linear_53
4,99,0.344415465796658,2.92317985028801,True,gaussian_linear,unequal,0.8783958327234981,True,-0.4830903722250861,-0.44198382967234356,True,0.36129246063578424,0.019410343027083964,0.53,True,True,True,gaussian_linear_54
10,76,0.5121579900534116,1.820061378347268,True,gaussian_linear,equal,0.8036767902871114,True,-0.4642561361862281,-0.43039828651118384,True,0.49035063275651936,0.025599371183138573,0.8,True,True,True,gaussian_linear_55
4,40,0.2770128206695329,2.9806203565099296,True,gaussian_linear,equal,0.9193010574512038,True,-0.4708432709217071,-0.4505644260708662,True,0.27823202475058567,0.01328527656835952,0.83,True,True,True,gaussian_linear_56
13,67,0.16674716073916448,1.9757196857880286,True,gaussian_linear,equal,0.9722509451671943,True,-0.4555360566688044,-0.44254187779149173,True,0.16458470471361947,0.013768486122975397,0.29,True,True,True,gaussian_linear_57
2,21,0.33666751244217563,1.1940189757545885,False,gaussian_linear,equal,-2.6559811942000313,False,-0.6400028253702654,0.02431262976162708,False,3.8087645271048944,0.3321577275659464,0.01,False,True,True,gaussian_linear_58
10,60,0.5431010801967571,1.2274580242587565,False,gaussian_linear,unequal,-0.2127389256797445,False,-0.452899686704951,0.02896125764695639,False,3.9357519453730303,0.3168671473632897,0.01,False,True,True,gaussian_linear_59
3,17,0.30027788675244294,2.7505028824341817,True,gaussian_linear,equal,0.8768848936086553,True,-0.47199555276169713,-0.413082496786651,True,0.30827966359879083,0.026267863165064322,0.31,True,True,True,gaussian_linear_60
8,56,0.20334634505077726,0.6972816647266022,False,gaussian_linear,unequal,-0.20266233701550962,False,-0.6098349201779357,-0.3008279170387877,True,2.79623603420024,0.19505847598401055,0.01,False,True,True,gaussian_linear_61
11,53,0.45985947949558814,0.39546299867898393,False,gaussian_linear,equal,0.32325868395073454,True,-0.515346379830271,-0.36381702971629704,True,1.0653778074247988,0.098697981602689,0.01,False,True,False,gaussian_linear_62
9,83,0.32809288548290544,0.8382129160731526,True,gaussian_linear,equal,0.8957247618092989,True,-0.4652271792936561,-0.44282334510656063,True,0.34206112532058974,0.02006226639742553,0.46,True,True,True,gaussian_linear_63
18,87,0.06730000958634377,2.4258480073572657,False,gaussian_linear,unequal,-0.15666196676133826,False,-0.8508617578988494,0.0030226612328086867,False,9.34103570480092,0.6727794341579316,0.01,False,True,True,gaussian_linear_64
18,99,0.15576894771850314,2.6232242828729797,True,gaussian_linear,unequal,0.976141273784524,True,-0.45538254281953033,-0.4487744461562804,True,0.15423596129682335,0.010385069873893659,0.28,True,True,True,gaussian_linear_65
19,24,0.31661768094310083,1.1922721012882718,False,gaussian_linear,unequal,-0.17923513069136288,False,-0.6210387933466794,-0.08611810810692215,True,5.206883275584445,0.3645987081637994,0.01,False,True,True,gaussian_linear_66
8,96,0.5481674738267002,0.4994447927513863,True,gaussian_linear,unequal,0.7927501633393407,True,-0.47763134426706993,-0.4281313615555872,True,0.5179702743620874,0.036419785496832766,0.29,True,True,True,gaussian_linear_67
18,52,0.43696102677248627,1.8969267743930895,False,gaussian_linear,unequal,-0.12960198421150393,False,-0.8903692782747585,-0.13836222783270968,True,9.493943894290798,0.6700872650763894,0.01,False,True,True,gaussian_linear_68
19,10,0.4265728841059625,0.1159086145556294,True,gaussian_linear,equal,0.8067776669072708,True,-0.4590511912831185,-0.3992016730384804,True,0.43574375807116295,0.07484847083600547,0.27,True,True,True,gaussian_linear_69
